,DATE_REPORTED,DATE_OCCURRED,TIME_OCCURRED,PATROL_DIVISION,AREA_NAME,CRIME_CODE,CRIME_DESCRIPTION,VICTIM_AGE,VICTIM_SEX,VICTIM_RACE,PREMISE,LAT,LON
0,2008-04-10,2008-04-10,1910,73,BROOKLYN,341,PETIT LARCENY,18-24,M,BLACK,STREET,40.669413836,-73.91260308
1,2007-06-03,2007-06-03,1523,28,MANHATTAN,236,DANGEROUS WEAPONS,UNKNOWN,E,UNKNOWN,STREET,40.801978284,-73.945511151
2,2010-02-16,2010-02-16,2050,102,QUEENS,105,ROBBERY,UNKNOWN,E,UNKNOWN,GROCERY/BODEGA,40.699990268,-73.830977746
3,2009-11-10,2009-11-10,1635,79,BROOKLYN,341,PETIT LARCENY,UNKNOWN,E,UNKNOWN,FOOD SUPERMARKET,40.681004729,-73.95503457699999
5,2011-06-24,2011-06-23,2030,81,BROOKLYN,118,DANGEROUS WEAPONS,UNKNOWN,E,UNKNOWN,STREET,40.678337995,-73.92557761399999
6,2007-11-24,2007-11-24,1155,45,BRONX,232,POSSESSION OF STOLEN PROPERTY,UNKNOWN,E,UNKNOWN,DEPARTMENT STORE,40.868467378000005,-73.821582846
7,2008-03-29,2008-03-29,1517,77,BROOKLYN,235,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.669864789,-73.92545369
10,2007-08-12,2007-08-12,0050,52,BRONX,106,FELONY ASSAULT,<18,M,BLACK,STREET,40.878753425,-73.872546635
11,2006-08-15,2006-08-15,2000,113,QUEENS,109,GRAND LARCENY,<18,F,BLACK,STREET,40.696193821,-73.751967063
12,2009-06-05,2009-06-05,1813,75,BROOKLYN,118,DANGEROUS WEAPONS,UNKNOWN,E,UNKNOWN,STREET,40.675399421,-73.881118891
13,2010-04-13,2009-10-08,0211,23,MANHATTAN,114,ARSON,UNKNOWN,E,UNKNOWN,STREET,40.795080364,-73.939189266
15,2007-04-12,2007-04-12,0240,13,MANHATTAN,236,DANGEROUS WEAPONS,UNKNOWN,E,UNKNOWN,STREET,40.747244422,-73.99336087
16,2009-05-18,2009-05-18,0845,14,MANHATTAN,113,FORGERY,UNKNOWN,E,UNKNOWN,STREET,40.755958814,-73.990728688
17,2009-07-21,2009-07-19,2030,49,BRONX,341,PETIT LARCENY,45-64,M,WHITE,STREET,40.853816674,-73.85527954
19,2009-12-27,2009-12-27,0130,44,BRONX,236,DANGEROUS WEAPONS,UNKNOWN,E,UNKNOWN,STREET,40.832324737,-73.93160274899999
20,2006-12-10,2006-12-10,2019,44,BRONX,235,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.841694933,-73.911108193
21,2010-07-28,2010-07-28,1602,30,MANHATTAN,352,CRIMINAL TRESPASS,UNKNOWN,E,UNKNOWN,RESIDENCE - APT. HOUSE,40.822368382,-73.950614198
22,2007-05-14,2007-05-14,1000,46,BRONX,578,HARRASSMENT 2,25-44,F,BLACK,OTHER,40.860878686,-73.895902416
24,2007-02-20,2007-02-20,1602,43,BRONX,235,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.827414051,-73.877945775
25,2006-01-05,2005-12-12,1145,94,BROOKLYN,578,HARRASSMENT 2,<18,M,BLACK,PUBLIC SCHOOL,40.722051984000004,-73.95320306100001
28,2007-08-10,2007-08-10,0320,44,BRONX,235,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.834502766,-73.91337278
32,2007-10-05,2007-10-05,1415,40,BRONX,110,GRAND LARCENY OF MOTOR VEHICLE,25-44,M,WHITE,STREET,40.82133934,-73.90663716
33,2011-10-22,2011-10-22,1527,52,BRONX,118,DANGEROUS WEAPONS,UNKNOWN,E,UNKNOWN,STREET,40.866259219,-73.896928019
34,2011-06-03,2011-06-03,1150,104,QUEENS,351,CRIMINAL MISCHIEF & RELATED OF,UNKNOWN,E,UNKNOWN,OTHER,40.713018605,-73.900707211
35,2006-04-11,2006-04-10,1929,106,QUEENS,114,ARSON,UNKNOWN,E,UNKNOWN,RESIDENCE-HOUSE,40.682186400999996,-73.839690483
36,2008-01-29,2008-01-29,0059,46,BRONX,344,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,E,UNKNOWN,STREET,40.85214828,-73.92069849100001
39,2006-05-26,2006-05-26,1550,14,MANHATTAN,105,ROBBERY,UNKNOWN,E,UNKNOWN,BANK,40.753797076,-73.97855821
40,2007-05-12,2007-05-11,2350,48,BRONX,236,DANGEROUS WEAPONS,UNKNOWN,E,UNKNOWN,STREET,40.84320283,-73.890038898
41,2006-08-09,2006-08-09,2100,103,QUEENS,117,DANGEROUS DRUGS,UNKNOWN,E,UNKNOWN,STREET,40.694253261,-73.798327783
42,2006-05-18,2006-05-18,1532,71,BROOKLYN,106,FELONY ASSAULT,25-44,F,BLACK,PUBLIC SCHOOL,40.670066502,-73.961808224
43,2010-06-04,2010-06-04,1756,47,BRONX,105,ROBBERY,25-44,M,BLACK,STREET,40.89739614,-73.84823246
