,DATE_REPORTED,DATE_OCCURRED,TIME_OCCURRED,PATROL_DIVISION,AREA_NAME,CRIME_CODE,CRIME_DESCRIPTION,VICTIM_AGE,VICTIM_SEX,VICTIM_RACE,PREMISE,LAT,LON
0,2008-04-10,2008-04-10,19:10:00,73.0,BROOKLYN,341,PETIT LARCENY,18-24,M,BLACK,STREET,40.669413836,-73.91260308
1,2007-06-03,2007-06-03,15:23:00,28.0,MANHATTAN,236,DANGEROUS WEAPONS,,E,UNKNOWN,STREET,40.801978284,-73.945511151
2,2010-02-16,2010-02-16,20:50:00,102.0,QUEENS,105,ROBBERY,,D,UNKNOWN,GROCERY/BODEGA,40.699990268,-73.830977746
3,2009-11-10,2009-11-10,16:35:00,79.0,BROOKLYN,341,PETIT LARCENY,,D,UNKNOWN,FOOD SUPERMARKET,40.681004729,-73.955034577
4,2006-04-25,2006-04-11,09:30:00,123.0,STATEN ISLAND,112,THEFT-FRAUD,25-44,M,WHITE,COMMERCIAL BUILDING,,
5,2011-06-24,2011-06-23,20:30:00,81.0,BROOKLYN,118,DANGEROUS WEAPONS,,E,UNKNOWN,STREET,40.678337995,-73.925577614
6,2007-11-24,2007-11-24,11:55:00,45.0,BRONX,232,POSSESSION OF STOLEN PROPERTY,,D,UNKNOWN,DEPARTMENT STORE,40.868467378,-73.821582846
7,2008-03-29,2008-03-29,15:17:00,77.0,BROOKLYN,235,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.669864789,-73.92545369
8,2006-04-21,2006-04-21,17:00:00,32.0,MANHATTAN,105,ROBBERY,25-44,M,WHITE HISPANIC,RESIDENCE - PUBLIC HOUSING,,
9,2006-04-15,2006-04-14,17:00:00,120.0,STATEN ISLAND,348,VEHICLE AND TRAFFIC LAWS,45-64,F,UNKNOWN,STREET,,
10,2007-08-12,2007-08-12,00:50:00,52.0,BRONX,106,FELONY ASSAULT,<18,M,BLACK,STREET,40.878753425,-73.872546635
11,2006-08-15,2006-08-15,20:00:00,113.0,QUEENS,109,GRAND LARCENY,<18,F,BLACK,STREET,40.696193821,-73.751967063
12,2009-06-05,2009-06-05,18:13:00,75.0,BROOKLYN,118,DANGEROUS WEAPONS,,E,UNKNOWN,STREET,40.675399421,-73.881118891
13,2010-04-13,2009-10-08,02:11:00,23.0,MANHATTAN,114,ARSON,,E,UNKNOWN,STREET,40.795080364,-73.939189266
14,2006-04-29,2006-04-27,09:00:00,72.0,BROOKLYN,112,THEFT-FRAUD,45-64,M,WHITE HISPANIC,OTHER,,
15,2007-04-12,2007-04-12,02:40:00,13.0,MANHATTAN,236,DANGEROUS WEAPONS,,E,UNKNOWN,STREET,40.747244422,-73.99336087
16,2009-05-18,2009-05-18,08:45:00,14.0,MANHATTAN,113,FORGERY,,E,UNKNOWN,STREET,40.755958814,-73.990728688
17,2009-07-21,2009-07-19,20:30:00,49.0,BRONX,341,PETIT LARCENY,45-64,M,WHITE,STREET,40.853816674,-73.85527954
18,2007-04-06,2007-04-06,21:30:00,,,101,MURDER & NON-NEGL. MANSLAUGHTER,UNKNOWN,F,WHITE,,,
19,2009-12-27,2009-12-27,01:30:00,44.0,BRONX,236,DANGEROUS WEAPONS,,E,UNKNOWN,STREET,40.832324737,-73.931602749
20,2006-12-10,2006-12-10,20:19:00,44.0,BRONX,235,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.841694933,-73.911108193
21,2010-07-28,2010-07-28,16:02:00,30.0,MANHATTAN,352,CRIMINAL TRESPASS,,D,UNKNOWN,RESIDENCE - APT. HOUSE,40.822368382,-73.950614198
22,2007-05-14,2007-05-14,10:00:00,46.0,BRONX,578,HARRASSMENT 2,25-44,F,BLACK,OTHER,40.860878686,-73.895902416
23,2006-04-09,2006-04-09,15:52:00,42.0,BRONX,578,HARRASSMENT 2,45-64,F,BLACK,STREET,,
24,2007-02-20,2007-02-20,16:02:00,43.0,BRONX,235,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.827414051,-73.877945775
25,2006-01-05,2005-12-12,11:45:00,94.0,BROOKLYN,578,HARRASSMENT 2,<18,M,BLACK,PUBLIC SCHOOL,40.722051984,-73.953203061
26,2006-04-27,2006-04-27,09:30:00,109.0,QUEENS,578,HARRASSMENT 2,25-44,M,WHITE,RESIDENCE-HOUSE,,
27,2006-04-21,2006-04-21,01:40:00,63.0,BROOKLYN,361,OFF. AGNST PUB ORD SENSBLTY &,,F,UNKNOWN,RESIDENCE-HOUSE,,
28,2007-08-10,2007-08-10,03:20:00,44.0,BRONX,235,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.834502766,-73.91337278
29,2007-12-23,2007-12-23,20:49:00,14.0,MANHATTAN,360,,,E,UNKNOWN,STREET,40.754849215,-73.984119991
30,2006-04-24,2005-04-24,16:50:00,73.0,BROOKLYN,344,ASSAULT 3 & RELATED OFFENSES,18-24,F,BLACK,RESIDENCE - APT. HOUSE,,
31,2006-04-20,2006-04-19,20:30:00,60.0,BROOKLYN,341,PETIT LARCENY,45-64,F,WHITE,STREET,,
32,2007-10-05,2007-10-05,14:15:00,40.0,BRONX,110,GRAND LARCENY OF MOTOR VEHICLE,25-44,M,WHITE,STREET,40.82133934,-73.90663716
33,2011-10-22,2011-10-22,15:27:00,52.0,BRONX,118,DANGEROUS WEAPONS,,E,UNKNOWN,STREET,40.866259219,-73.896928019
34,2011-06-03,2011-06-03,11:50:00,104.0,QUEENS,351,CRIMINAL MISCHIEF & RELATED OF,,D,UNKNOWN,OTHER,40.713018605,-73.900707211
35,2006-04-11,2006-04-10,19:29:00,106.0,QUEENS,114,ARSON,,E,UNKNOWN,RESIDENCE-HOUSE,40.682186401,-73.839690483
36,2008-01-29,2008-01-29,00:59:00,46.0,BRONX,344,ASSAULT 3 & RELATED OFFENSES,,E,UNKNOWN,STREET,40.85214828,-73.920698491
37,2006-04-27,2006-04-27,12:49:00,45.0,BRONX,348,VEHICLE AND TRAFFIC LAWS,,E,UNKNOWN,STREET,,
38,2006-04-18,2006-04-17,22:30:00,62.0,BROOKLYN,126,MISCELLANEOUS PENAL LAW,18-24,F,WHITE,RESIDENCE - APT. HOUSE,,
39,2006-05-26,2006-05-26,15:50:00,14.0,MANHATTAN,105,ROBBERY,,D,UNKNOWN,BANK,40.753797076,-73.97855821
40,2007-05-12,2007-05-11,23:50:00,48.0,BRONX,236,DANGEROUS WEAPONS,,E,UNKNOWN,STREET,40.84320283,-73.890038898
41,2006-08-09,2006-08-09,21:00:00,103.0,QUEENS,117,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.694253261,-73.798327783
42,2006-05-18,2006-05-18,15:32:00,71.0,BROOKLYN,106,FELONY ASSAULT,25-44,F,BLACK,PUBLIC SCHOOL,40.670066502,-73.961808224
43,2010-06-04,2010-06-04,17:56:00,47.0,BRONX,105,ROBBERY,25-44,M,BLACK,STREET,40.89739614,-73.84823246
44,2008-03-20,2008-03-20,15:10:00,13.0,MANHATTAN,341,PETIT LARCENY,,D,UNKNOWN,DEPARTMENT STORE,40.740160295,-73.994805026
45,2006-04-28,2006-04-28,02:50:00,9.0,MANHATTAN,106,FELONY ASSAULT,,M,UNKNOWN,STREET,,
46,2008-01-22,2007-12-23,03:39:00,102.0,QUEENS,114,ARSON,,E,UNKNOWN,RESIDENCE-HOUSE,40.681654562,-73.852487561
47,2008-07-22,2008-07-22,08:53:00,40.0,BRONX,344,ASSAULT 3 & RELATED OFFENSES,,M,UNKNOWN,STREET,40.817396125,-73.922759467
48,2009-03-25,2009-03-25,09:00:00,44.0,BRONX,117,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.82386862,-73.919402547
49,2009-10-04,2009-10-04,02:00:00,6.0,MANHATTAN,344,ASSAULT 3 & RELATED OFFENSES,18-24,M,WHITE,STREET,40.73293622,-74.000066396
50,2006-04-22,2006-04-22,16:30:00,1.0,MANHATTAN,124,KIDNAPPING & RELATED OFFENSES,65+,F,WHITE,RESIDENCE - APT. HOUSE,,
51,2006-04-22,2006-04-22,14:15:00,42.0,BRONX,105,ROBBERY,,M,UNKNOWN,SMALL MERCHANT,,
52,2009-12-18,2009-12-18,14:05:00,48.0,BRONX,358,OFFENSES INVOLVING FRAUD,,E,UNKNOWN,STREET,40.844910096,-73.89009752
53,2009-03-25,2009-03-15,13:00:00,113.0,QUEENS,113,FORGERY,18-24,F,BLACK,BANK,40.687308587,-73.793466566
54,2006-03-09,2006-03-08,18:30:00,52.0,BRONX,578,HARRASSMENT 2,25-44,F,WHITE HISPANIC,RESIDENCE - APT. HOUSE,,
55,2010-09-03,2010-09-03,01:55:00,52.0,BRONX,348,VEHICLE AND TRAFFIC LAWS,,E,UNKNOWN,STREET,40.862412087,-73.897982408
56,2006-04-25,2006-04-25,20:25:00,44.0,BRONX,348,VEHICLE AND TRAFFIC LAWS,,E,UNKNOWN,STREET,,
57,2009-02-25,2009-02-25,21:40:00,75.0,BROOKLYN,235,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.652762942,-73.886283976
58,2006-04-17,2006-04-17,19:30:00,68.0,BROOKLYN,105,ROBBERY,45-64,F,WHITE,STREET,,
59,2008-05-15,2008-05-15,22:50:00,52.0,BRONX,117,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.873418635,-73.87588707
60,2007-04-12,2007-04-12,14:57:00,,,101,MURDER & NON-NEGL. MANSLAUGHTER,45-64,F,WHITE,,40.832773975,-73.894096197
61,2010-06-04,2010-06-04,21:30:00,46.0,BRONX,113,FORGERY,,E,UNKNOWN,STREET,40.858683114,-73.899206402
62,2008-02-13,2008-02-06,12:30:00,25.0,MANHATTAN,341,PETIT LARCENY,25-44,F,WHITE HISPANIC,FAST FOOD,40.804046007,-73.936620103
63,2006-04-21,2006-04-21,13:46:00,26.0,MANHATTAN,109,GRAND LARCENY,45-64,M,WHITE,RESTAURANT/DINER,,
